fir_number,district,ward,crime_type,severity,latitude,longitude,timestamp,description,accused_names
DEMO-20260724-00001,Bengaluru Urban,Bengaluru Urban Demo Zone 2,Theft,4,12.938387,77.555045,2026-06-04T23:10:43,Synthetic demo record: theft reported in Bengaluru Urban.,Demo Associate 095
DEMO-20260724-00002,Chamarajanagar,Chamarajanagar Demo Zone 4,Robbery,7,11.885586,76.962417,2026-06-06T07:42:43,Synthetic demo record: robbery reported in Chamarajanagar.,Demo Associate 125
DEMO-20260724-00003,Bidar,Bidar Demo Zone 3,Assault,7,17.923735,77.529706,2026-05-11T13:47:43,Synthetic demo record: assault reported in Bidar.,Demo Associate 101|Demo Associate 112
DEMO-20260724-00004,Mysuru,Mysuru Demo Zone 2,Theft,4,12.294331,76.639605,2026-06-22T18:14:43,Synthetic demo record: theft reported in Mysuru.,Demo Associate 185
DEMO-20260724-00005,Dakshina Kannada,Dakshina Kannada Demo Zone 3,Fraud,4,12.890674,74.851542,2026-05-21T06:28:43,Synthetic demo record: fraud reported in Dakshina Kannada.,Demo Associate 202
DEMO-20260724-00006,Raichur,Raichur Demo Zone 1,Theft,4,16.182139,77.3846,2026-06-12T03:25:43,Synthetic demo record: theft reported in Raichur.,Demo Associate 206|Demo Associate 220|Demo Associate 210
DEMO-20260724-00007,Dharwad,Dharwad Demo Zone 2,Assault,6,15.437979,74.973381,2026-07-07T05:44:43,Synthetic demo record: assault reported in Dharwad.,Demo Associate 015|Demo Associate 004
DEMO-20260724-00008,Chitradurga,Chitradurga Demo Zone 3,Robbery,8,14.20473,76.380262,2026-05-06T16:03:43,Synthetic demo record: robbery reported in Chitradurga.,Demo Associate 186|Demo Associate 197
DEMO-20260724-00009,Dakshina Kannada,Dakshina Kannada Demo Zone 2,Vandalism,3,12.903123,74.858218,2026-05-07T22:17:43,Synthetic demo record: vandalism reported in Dakshina Kannada.,Demo Associate 216|Demo Associate 219|Demo Associate 203
DEMO-20260724-00010,Kodagu,Kodagu Demo Zone 3,Theft,3,12.404902,75.712265,2026-07-22T07:24:43,Synthetic demo record: theft reported in Kodagu.,Demo Associate 120
DEMO-20260724-00011,Chitradurga,Chitradurga Demo Zone 1,Theft,3,14.181942,76.367169,2026-07-01T04:32:43,Synthetic demo record: theft reported in Chitradurga.,Demo Associate 197|Demo Associate 198
DEMO-20260724-00012,Raichur,Raichur Demo Zone 3,Burglary,7,16.174468,77.380038,2026-07-03T18:35:43,Synthetic demo record: burglary reported in Raichur.,Demo Associate 217|Demo Associate 219|Demo Associate 213
DEMO-20260724-00013,Kolar,Kolar Demo Zone 3,Theft,5,13.145982,78.104663,2026-06-27T02:11:43,Synthetic demo record: theft reported in Kolar.,Demo Associate 129
DEMO-20260724-00014,Dharwad,Dharwad Demo Zone 2,Theft,5,15.452592,75.009776,2026-07-09T08:12:43,Synthetic demo record: theft reported in Dharwad.,Demo Associate 011
DEMO-20260724-00015,Dakshina Kannada,Dakshina Kannada Demo Zone 3,Chain Snatching,7,12.892089,74.826186,2026-05-17T14:30:43,Synthetic demo record: chain snatching reported in Dakshina Kannada.,Demo Associate 218
